Field: G37.554+0.201

216.9571085087~216.9639439100GHz LSRK
216.9951914588~216.9971444306GHz LSRK
217.3096199186~217.3154788340GHz LSRK
217.3359850379~217.3496558405GHz LSRK
217.4287511984~217.4336336279GHz LSRK
217.5869419142~217.5908478578GHz LSRK
217.6279543220~217.6289308079GHz LSRK
217.6875199619~217.7002142786GHz LSRK
217.7197439966~217.7246264261GHz LSRK
217.8193455584~217.8271574456GHz LSRK
217.9296884651~217.9345708946GHz LSRK
217.9609360139~217.9667949293GHz LSRK
218.0009719358~218.0048778794GHz LSRK
218.1035029553~218.1093618707GHz LSRK

SpectralWindow: 27
219.0149275945~219.0305513737GHz LSRK
219.0432456943~219.0510575839GHz LSRK
219.0705873079~219.1164821593GHz LSRK
219.1565180935~219.1760478175GHz LSRK
219.1926480829~219.1965540277GHz LSRK
219.2160837517~219.2219426689GHz LSRK
219.2531902273~219.2795553547GHz LSRK
219.3332620957~219.3459564163GHz LSRK
219.3869688367~219.3977101849GHz LSRK
219.4152869365~219.4260282847GHz LSRK
219.4894998877~219.4943823187GHz LSRK
219.5793366181~219.5851955353GHz LSRK
219.5949603973~219.6144901213GHz LSRK
219.6496436245~219.6564790279GHz LSRK
219.7179976585~219.7258095481GHz LSRK
219.7804927753~219.7853752063GHz LSRK
219.8019754717~219.8527527541GHz LSRK
219.8908357159~219.9035300365GHz LSRK
219.9406365121~219.9445424569GHz LSRK
219.9689546119~219.9845783911GHz LSRK
220.0138729771~220.0294967563GHz LSRK
220.0607443147~220.0812505249GHz LSRK
220.1798756311~220.2140526481GHz LSRK
220.2316293997~220.2570180409GHz LSRK
220.2970539751~220.3029128923GHz LSRK
220.3429488265~220.3507607161GHz LSRK
220.3986085399~220.4259501535GHz LSRK
220.4503623085~220.4562212257GHz LSRK
220.4708685187~220.4972336461GHz LSRK
220.6564008967~220.6612833277GHz LSRK
220.7374492513~220.7686968097GHz LSRK
220.7989678819~220.8106857163GHz LSRK
220.8331448989~220.8458392195GHz LSRK
220.8653689435~220.8712278607GHz LSRK

SpectralWindow: 29
230.0822544620~230.0969017790GHz LSRK
230.1564675348~230.1691618762GHz LSRK
230.1769737786~230.1828327054GHz LSRK
230.2121273394~230.2463044124GHz LSRK
230.2912228512~230.3224704608GHz LSRK
230.3478591436~230.4123073384GHz LSRK
230.4464844114~230.4640611918GHz LSRK
230.5499921182~230.5538980694GHz LSRK
230.5704983620~230.6281111422GHz LSRK
230.6437349470~230.6495938738GHz LSRK
230.6749825566~230.7413837270GHz LSRK
230.7863021658~230.7902081170GHz LSRK
230.8038789462~230.8361030436GHz LSRK
230.8487973850~230.8527033362GHz LSRK
230.8693036288~230.8898098726GHz LSRK
230.9064101652~230.9122690920GHz LSRK
230.9386342626~230.9513286040GHz LSRK
230.9640229454~230.9728113356GHz LSRK
230.9933175794~231.0167532866GHz LSRK
231.0509303596~231.0792485058GHz LSRK
231.1017077252~231.1407672372GHz LSRK
231.1700618712~231.1749443102GHz LSRK
231.2208392368~231.2296276270GHz LSRK
231.2579457732~231.2677106512GHz LSRK
231.3536415776~231.4083248944GHz LSRK
231.4405489918~231.4444549430GHz LSRK
231.4571492844~231.4639846990GHz LSRK
231.5010912354~231.5186680158GHz LSRK
231.5362447962~231.5440566986GHz LSRK
231.5704218692~231.6163167958GHz LSRK
231.6417054786~231.6456114298GHz LSRK
231.6631882102~231.6778355272GHz LSRK

SpectralWindow: 31
231.8968483664~231.9007543188GHz LSRK
231.9241900332~231.9280959856GHz LSRK
231.9759439025~231.9837558073GHz LSRK
232.0150034265~232.0237918194GHz LSRK
232.0472275338~232.0550394386GHz LSRK
232.0667572958~232.0735927125GHz LSRK
232.0833575935~232.0882400340GHz LSRK
232.0980049150~232.1204641413GHz LSRK
232.1351114628~232.1390174152GHz LSRK
232.2054186060~232.2122540227GHz LSRK
232.2581489634~232.2669373563GHz LSRK
232.2893965826~232.3069733684GHz LSRK
232.3216206899~232.3391974757GHz LSRK
232.3538447972~232.3626331901GHz LSRK
232.4026692022~232.4466111667GHz LSRK
232.4719998573~232.5305891433GHz LSRK
232.5491424172~232.5550013458GHz LSRK
232.5696486673~232.5764840840GHz LSRK
232.6204260485~232.6380028343GHz LSRK
232.6858507512~232.6917096798GHz LSRK
232.7083099775~232.7131924180GHz LSRK
232.7346751562~232.7415105729GHz LSRK
232.8196296209~232.8245120614GHz LSRK
232.8557596806~232.8831013474GHz LSRK
232.9836796217~232.9953974789GHz LSRK
233.0686340864~233.0774224793GHz LSRK
233.1975305156~233.2053424204GHz LSRK
233.3400977782~233.3449802187GHz LSRK
233.3889221832~233.4006400404GHz LSRK
233.4162638500~233.4211462905GHz LSRK
233.4338406358~233.4416525406GHz LSRK
233.5754314103~233.5851962913GHz LSRK
233.6027730771~233.6066790295GHz LSRK
233.6457385535~233.6642918274GHz LSRK
233.7277635539~233.7316695063GHz LSRK

Field: G37.479-0.105

SpectralWindow: 25
216.8600880887~216.8678999655GHz LSRK
216.9421127951~216.9870310867GHz LSRK
217.3346596043~217.3493068733GHz LSRK
217.4537907255~217.5651099699GHz LSRK
217.6178401383~217.7555244669GHz LSRK
217.9478919331~218.0504228162GHz LSRK
218.2027544138~218.2271665288GHz LSRK
218.3082147506~218.3716862496GHz LSRK
218.4585933790~218.4917938554GHz LSRK

SpectralWindow: 27
219.0077403639~219.4598528726GHz LSRK
219.5262538458~219.5614073022GHz LSRK
219.5760545757~219.6092550623GHz LSRK
219.6209728811~219.6326906999GHz LSRK
219.6492909432~219.6531968828GHz LSRK
219.6717500959~219.6756560355GHz LSRK
219.7108094919~219.7205743409GHz LSRK
219.7967401631~219.8289641648GHz LSRK
219.8416584685~219.8572822269GHz LSRK
219.8826708343~219.8943886531GHz LSRK
219.9207537454~219.9471188377GHz LSRK
219.9812958092~219.9881312035GHz LSRK
220.0135198109~220.0223081750GHz LSRK
